qid,bm25,baseline,decomposition,yesno,iterative,iterative_pool,iterative_pool_rerank,steps
2hop__370911_589237,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2
2hop__496792_392646,0.5,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__95878_88628,0.0,0.0,0.5,0.5,0.5,0.5,0.5,2
2hop__36269_63853,1.0,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__199513_801817,0.5,0.5,0.5,0.0,0.5,0.5,0.5,3
2hop__506099_20057,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__83800_747874,0.0,0.5,0.0,0.0,0.0,0.0,0.0,2
2hop__199216_33564,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__24976_25002,0.0,0.0,0.5,0.5,0.5,0.5,0.5,2
2hop__39954_80303,1.0,0.0,0.5,0.0,1.0,1.0,1.0,2
2hop__289517_139339,0.5,0.5,0.0,0.5,0.5,0.5,0.5,2
2hop__179322_83289,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__57638_615257,0.5,0.0,0.0,0.0,0.5,0.5,0.0,2
2hop__811015_3300,0.0,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__998_25839,1.0,0.0,1.0,0.5,0.5,0.5,0.5,2
2hop__315246_88622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__814671_82341,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__835914_91104,0.5,0.5,1.0,0.5,1.0,1.0,1.0,2
2hop__70584_198548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2
2hop__754826_7292,0.5,0.5,0.0,0.0,1.0,1.0,0.5,2
2hop__121386_37168,0.0,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__543853_124498,0.5,0.5,0.5,0.5,0.5,0.5,0.5,3
2hop__86689_728109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
2hop__16581_16569,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__78756_198548,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
2hop__35686_58556,0.0,0.5,0.5,0.0,0.5,1.0,0.5,3
2hop__66843_494136,0.5,0.5,0.5,0.0,0.5,0.5,0.5,2
2hop__132969_417697,0.5,0.5,0.5,0.5,0.5,0.5,0.5,2
